WIKITEXT2 PPL,11.027
WIKITEXT2 PPL,11.869
WIKITEXT2 PPL,10.763
WIKITEXT2 PPL,10.928
WIKITEXT2 PPL,10.883
WIKITEXT2 PPL,11.026
WIKITEXT2 PPL,10.997
WIKITEXT2 PPL,10.973
WIKITEXT2 PPL,10.885
WIKITEXT2 PPL,10.897
WIKITEXT2 PPL,10.927
WIKITEXT2 PPL,10.889
WIKITEXT2 PPL,10.809
WIKITEXT2 PPL,10.899
WIKITEXT2 PPL,10.827
WIKITEXT2 PPL,10.893
WIKITEXT2 PPL,10.833
WIKITEXT2 PPL,10.866
WIKITEXT2 PPL,10.803
WIKITEXT2 PPL,10.874
WIKITEXT2 PPL,10.794
WIKITEXT2 PPL,10.870
WIKITEXT2 PPL,11.096
WIKITEXT2 PPL,11.997
WIKITEXT2 PPL,10.831
WIKITEXT2 PPL,10.903
WIKITEXT2 PPL,10.786
WIKITEXT2 PPL,10.890
WIKITEXT2 PPL,10.790
WIKITEXT2 PPL,10.916
WIKITEXT2 PPL,10.822
WIKITEXT2 PPL,10.920
WIKITEXT2 PPL,10.785
WIKITEXT2 PPL,10.894
WIKITEXT2 PPL,10.797
WIKITEXT2 PPL,10.859
WIKITEXT2 PPL,10.801
WIKITEXT2 PPL,10.859
WIKITEXT2 PPL,10.788
WIKITEXT2 PPL,10.854
WIKITEXT2 PPL,10.781
WIKITEXT2 PPL,10.849
WIKITEXT2 PPL,10.759
WIKITEXT2 PPL,10.867
WIKITEXT2 PPL,14.433
WIKITEXT2 PPL,11.702
WIKITEXT2 PPL,10.766
WIKITEXT2 PPL,10.851
WIKITEXT2 PPL,10.899
WIKITEXT2 PPL,11.077
WIKITEXT2 PPL,13.325
WIKITEXT2 PPL,11.222
WIKITEXT2 PPL,11.505
WIKITEXT2 PPL,11.497
WIKITEXT2 PPL,10.985
WIKITEXT2 PPL,11.006
WIKITEXT2 PPL,11.187
WIKITEXT2 PPL,10.846
WIKITEXT2 PPL,11.030
WIKITEXT2 PPL,11.087
WIKITEXT2 PPL,10.945
WIKITEXT2 PPL,10.908
WIKITEXT2 PPL,10.987
WIKITEXT2 PPL,11.036
